district,area,bedrooms,garage,type,rent
Indianópolis,94,3,3,Apartamento,5000
Brooklin,24,1,0,Studio e kitnet,2620
Vila Olímpia,96,2,2,Apartamento,8500
Vila Mariana,28,1,0,Studio e kitnet,2320
Bosque da Saúde,80,3,2,Apartamento,3000
Bela Vista,52,1,1,Apartamento,2200
Brooklin,198,3,3,Apartamento,12000
Vila Sao Paulo,70,2,1,Apartamento,1900
Vila Azevedo,90,4,2,Apartamento,4800
Santo Amaro,111,3,0,Apartamento,1650
Chácara Santo Antônio (zona Sul),28,1,1,Apartamento,2000
Vila Mariana,67,2,2,Apartamento,2700
Vila Lageado,102,3,2,Apartamento,5000
Itaim Bibi,86,2,1,Apartamento,4200
Vila Pierina,80,2,2,Casa,3500
Parque Santo Antônio,52,1,0,Casa,900
Vila Nova Conceição,109,2,2,Apartamento,10950
Santa Inês ,70,3,1,Apartamento,1725
Itaim Bibi,85,3,1,Apartamento,5300
Planalto Paulista,24,1,0,Studio e kitnet,25000
Jardim Paulista,45,1,0,Apartamento,2800
Mirandópolis,44,1,1,Apartamento,1600
Vila Santa Terezinha (zona Norte),50,2,0,Apartamento,1358
Vila Nova Conceição,167,2,3,Apartamento,15000
Moema,68,2,2,Apartamento,5250
Vila Congonhas,43,1,1,Apartamento,2000
Jardim Mangalot,84,3,2,Casa,2700
Ipiranga,110,2,1,Casa,2800
Vila Guilherme,34,2,0,Apartamento,1500
Rudge Ramos,75,1,1,Casa,1000
Parque São Lucas,75,1,0,Casa,1150
Liberdade,45,1,0,Studio e kitnet,1120
Parque Mandaqui,55,2,1,Apartamento,1820
Jardim Cidade Pirituba,125,1,1,Casa,1390
Vila Dom Pedro I,80,2,0,Casa,2400
São José,55,1,1,Casa,1350
Parque Continental Ii,120,3,1,Casa,2280
Vila Guilherme,35,1,0,Apartamento,950
Vila Bandeirantes,60,3,0,Casa,1499
Centro,40,1,0,Apartamento,1300
Vila Isolina Mazzei,80,2,1,Casa em condomínio,1950
Vila Bertioga,45,1,0,Studio e kitnet,1100
Vila Medeiros,185,3,2,Casa,4600
Jardim Avelino,200,3,5,Casa,3500
Parque Bristol,44,2,0,Apartamento,1100
Chácara Santo Antônio (zona Sul),100,2,0,Apartamento,2825
Mooca,37,1,0,Apartamento,1900
Mooca,80,3,0,Apartamento,1600
Vila Cruzeiro,44,1,0,Apartamento,1200
Vila Gomes Cardim,55,1,0,Apartamento,1924
Jardim Japao,60,2,0,Apartamento,1820
Santa Teresinha,126,3,2,Casa,4300
Liberdade,60,1,0,Apartamento,1040
Jardim Terezópolis,90,2,1,Casa,1400
Jardim Maria Luiza,150,3,0,Casa,2400
Vila Santa Teresa (zona Sul),48,2,1,Apartamento,1150
Paulicéia,225,2,2,Casa,3470
Vila do Encontro,44,1,1,Apartamento,1280
Vila Formosa,40,2,0,Apartamento,1500
Panamby,57,1,1,Apartamento,3721
Brás,70,2,1,Apartamento,5700
Vila Mazzei,70,1,0,Casa,1250
Jardim Dona Sinhá,45,2,1,Apartamento,1200
Carandiru,40,1,0,Studio e kitnet,1350
Vila Mariana,75,2,0,Casa,2900
Água Rasa,100,3,0,Casa,2000
Vila das Belezas,40,1,0,Apartamento,1500
Tatuapé,31,1,0,Studio e kitnet,850
Jardim Itapeva,68,2,1,Apartamento,2440
Jardim Dona Sinhá,47,2,1,Apartamento,1290
Cambuci,28,1,0,Apartamento,1690
Vila Nova Esperança,125,3,2,Casa,2250
República,70,1,0,Apartamento,1131
Jardim City,39,2,1,Apartamento,1150
Vila Romana,60,2,0,Casa,1850
Vila Santista,85,1,1,Casa,1660
Vila Ema,36,2,0,Apartamento,1500
Parque Vitoria,110,2,1,Casa,1816
Vila Buenos Aires,50,1,0,Casa em condomínio,890
Vila Invernada,150,3,2,Casa em condomínio,3900
Bela Vista,28,1,0,Apartamento,1700
Vila Ema,27,1,0,Apartamento,1150
Sapopemba,60,2,0,Casa em condomínio,1500
Chácara Cruzeiro do Sul,46,2,1,Apartamento,1500
Vila Gumercindo,140,3,1,Casa,2990
Jardim do Carmo,104,2,1,Casa em condomínio,3700
Jardim Brasil (zona Norte),60,2,0,Apartamento,1545
Chácara Santo Antônio (zona Leste),43,1,0,Apartamento,1150
Vila Ré,45,1,0,Casa,1280
Jardim São Paulo(zona Norte),75,2,2,Casa,2800
Vila Invernada,49,2,0,Apartamento,1800
Vila Matilde,50,1,0,Apartamento,1256
Vila Iório,120,2,4,Casa,2600
Vila Alpina,60,3,1,Apartamento,2750
Casa Verde,28,1,0,Apartamento,2040
Parque da Vila Prudente,50,2,1,Apartamento,2380
Vila Invernada,47,2,0,Apartamento,1800
Campos Elíseos,25,1,0,Studio e kitnet,910
Jardim Brasil (zona Norte),70,1,0,Apartamento,1000
Centro Histórico de São Paulo,90,2,0,Apartamento,1900
Bosque da Saúde,167,4,2,Casa,3900
Bosque da Saúde,82,2,1,Casa,3400
Santana,75,2,1,Casa,2950
Vila Água Funda,64,1,1,Casa,1600
Vila Lucia,50,2,0,Apartamento,1655
Aclimação,65,1,0,Casa,1800
Vila Humaitá,63,2,1,Apartamento,2200
Jardim São Savério,52,2,1,Apartamento,1270
Vila Cruzeiro,37,1,0,Casa,1350
Consolação,55,1,1,Apartamento,3300
Vila da Saúde,62,2,1,Apartamento,2000
Lapa,60,1,1,Casa,2410
Jardim São Paulo,38,1,1,Studio e kitnet,1890
Vila Nova Mazzei,150,3,2,Casa,2600
Vila Beatriz,200,3,3,Casa,2700
Butantã,26,1,0,Apartamento,3200
Jardim Inga,55,1,0,Casa,600
Parque Continental Ii,60,1,0,Casa,1000
Vila São Francisco,55,2,1,Apartamento,3000
Cidade Monções,70,2,1,Casa,3800
Vila Pereira Barreto,89,2,2,Casa em condomínio,2040
Barra Funda,38,1,0,Studio e kitnet,1150
Vila Araguaia,69,2,1,Casa em condomínio,2200
Sítio do Mandaqui,45,1,0,Casa,890
Pari,84,3,2,Apartamento,5750
Real Parque,112,2,2,Casa em condomínio,3740
Várzea da Barra Funda,48,1,1,Apartamento,3200
Santa Rita,60,1,0,Casa,1600
Vila Talarico,70,2,0,Apartamento,1700
Mooca,67,2,1,Apartamento,3340
Sítio do Mandaqui,45,1,0,Casa,650
Vila Milton,57,1,1,Apartamento,1200
Vila Granada,38,1,0,Apartamento,1480
Vila Prudente,58,2,1,Apartamento,3880
Chácara Belenzinho,55,2,1,Apartamento,1550
Vila Constança,100,3,1,Casa,2600
Centro,41,1,0,Studio e kitnet,1500
Vila Carrão,48,2,1,Apartamento,1600
Perdizes,70,2,0,Casa,2150
Santana,42,1,1,Apartamento,2300
Vila Nivi,60,2,0,Casa,1350
Vila Vermelha,70,2,1,Apartamento,1266
Vila Alpina,75,2,1,Apartamento,2600
Jardim Brasília (zona Norte),73,3,1,Apartamento,2835
Vila Suzana,74,1,1,Studio e kitnet,1649
Vila Suzana,48,1,1,Apartamento,1971
Jardim Casablanca,43,1,0,Apartamento,1310
Vila Sao Domingos,60,1,0,Casa,1000
Bela Vista,45,1,1,Apartamento,2400
Parque Santa Madalena,125,2,1,Casa,1800
Jardim Jaú (zona Leste),45,2,0,Apartamento,1275
Cambuci,62,3,1,Apartamento,1800
Vila Buarque,85,2,1,Apartamento,3500
República,45,1,0,Apartamento,1490
Paraíso,55,1,0,Apartamento,3800
Vila Maria Baixa,40,1,0,Apartamento,1200
Vila Ema,60,2,0,Apartamento,1750
Vila Dom Pedro Ii,72,2,1,Apartamento,2303
Vila Siqueira (zona Norte),178,3,2,Casa,2800
Campos Elíseos,44,2,0,Apartamento,1400
Consolação,55,1,0,Apartamento,1800
Rudge Ramos,78,3,1,Apartamento,1400
Ipiranga,30,2,0,Apartamento,2800
Vila Alpina,125,3,2,Casa em condomínio,3950
Tatuapé,90,3,2,Apartamento,2100
Vila Palmeiras,100,2,1,Casa,1980
Vila Carrao,38,2,0,Apartamento,1350
Vila Formosa,48,2,1,Apartamento,1750
Vila Santa Isabel,35,1,0,Apartamento,1270
Campanário,55,2,1,Apartamento,1300
Vila Prudente,72,3,0,Apartamento,1800
Campo Grande,70,1,0,Casa,1500
Vila Invernada,38,2,1,Apartamento,1640
Jardim Santa Monica,48,1,0,Casa,1300
Chácara Califórnia,57,2,1,Apartamento,2548
Bela Vista,41,1,1,Apartamento,3400
Parque Santos Dumont,58,2,2,Apartamento,1750
Vila Andrade,42,2,0,Apartamento,1330
Vila Ema,49,2,0,Apartamento,2400
Butantã,50,2,0,Apartamento,4500
Vila Guilhermina,42,1,0,Apartamento,1940
Chácara Mafalda,36,1,0,Apartamento,1500
Vila do Encontro,45,1,1,Casa,1587
Vila Dalila,50,2,1,Apartamento,1380
Parque Edu Chaves,50,2,0,Casa em condomínio,1100
Pompeia,59,2,0,Apartamento,2800
Vila Mazzei,41,1,1,Apartamento,1840
Vila Mariana,68,2,1,Apartamento,5700
Centro Histórico de São Paulo,42,1,0,Apartamento,1950
Horto Florestal,40,1,0,Casa,874
Chácara Santo Antônio (zona Sul),51,2,2,Apartamento,3822
Parque Novo Mundo,51,2,1,Apartamento,1500
Vila Medeiros,50,1,0,Casa,900
Barra Funda,79,3,1,Apartamento,5500
Bela Vista,75,2,0,Apartamento,3300
Jardim Santa Emília,52,2,1,Apartamento,3000
Vila Cruzeiro,76,3,1,Apartamento,4000
Mirandópolis,62,2,1,Apartamento,4500
Bom Retiro,40,2,0,Apartamento,1300
Butantã,27,1,0,Studio e kitnet,3099
Jardim Vila Formosa,30,1,0,Casa,1300
Vila Nova Carolina,35,1,0,Apartamento,2142
Vila Euthalia,42,1,0,Casa,1080
Jardim Vila Formosa,34,2,1,Apartamento,1500
Santo Amaro,42,1,1,Apartamento,3290
Chácara Santo Antônio (zona Leste),85,2,1,Apartamento,2350
Bela Vista,55,1,1,Apartamento,1444
Cambuci,140,3,1,Casa,4500
Vila Cachoeira,56,2,1,Apartamento,1575
Bela Vista,45,1,0,Studio e kitnet,2400
Penha de França,34,1,1,Apartamento,1445
Vila Buarque,25,1,0,Studio e kitnet,1999
Vila Santa Clara,63,2,1,Apartamento,4800
Liberdade,25,1,0,Apartamento,980
Campos Elíseos,56,1,0,Apartamento,1800
Vila Parque Jabaquara,50,2,1,Apartamento,1890
Bela Vista,39,2,0,Apartamento,3650
Vila Mariana,67,3,2,Apartamento,4000
Jardim Kuabara,45,1,0,Casa,1200
Vila Firmiano Pinto,56,2,1,Apartamento,1650
Jardim Leonor Mendes de Barros,62,2,1,Apartamento,1445
Limão,45,2,1,Apartamento,1940
Vila Andrade,54,2,1,Apartamento,2000
Jardim Leonor,120,2,2,Apartamento,3993
Bela Vista,45,1,1,Apartamento,2500
Cambuci,36,1,0,Apartamento,1550
Vila das Merces ,54,2,1,Apartamento,2420
Centro Histórico de São Paulo,42,1,1,Apartamento,1950
Ipiranga,34,1,1,Apartamento,2340
Jardim Ampliacao,75,2,2,Apartamento,2452
Jardim Paulista,54,1,1,Apartamento,4500
Vila Pompéia,62,2,2,Apartamento,3500
Vila Bertioga,39,2,0,Apartamento,2430
Consolação,45,1,1,Apartamento,2443
Campo Belo,42,1,1,Studio e kitnet,3800
Santo Amaro,153,2,0,Casa,3750
Sé,30,1,0,Apartamento,903
Aclimação,38,1,0,Apartamento,1850
Vila Mascote,54,2,1,Apartamento,1920
Itaim Bibi,73,2,1,Apartamento,3650
Barra Funda,85,3,0,Apartamento,2595
Sítio Morro Grande,56,2,1,Apartamento,2500
Vila Buarque,33,1,1,Apartamento,1310
Consolação,38,2,0,Apartamento,2500
Santana,140,3,3,Apartamento,3000
Rudge Ramos,150,3,1,Apartamento,2650
Campos Elíseos,29,1,1,Apartamento,1460
Vila Fachini,100,4,1,Casa,1980
Vila São Silvestre,55,2,1,Apartamento,1100
Campos Elíseos,32,1,1,Studio e kitnet,1150
Saúde,54,2,1,Apartamento,1200
Panamby,57,2,1,Apartamento,4000
Centro Histórico de São Paulo,25,1,0,Studio e kitnet,1810
Vila Bertioga,40,2,1,Apartamento,2590
Vila Buarque,59,2,1,Apartamento,5000
Vila Buarque,48,1,1,Apartamento,1685
Vila Tolstoi,38,2,1,Apartamento,2100
Conjunto Residencial Jardim Canaã,133,2,2,Casa,3500
Vila Sabrina,45,1,0,Casa,1100
Sacomã,54,2,1,Apartamento,1100
Jardim Valeria,50,2,1,Apartamento,1500
Vila Olímpia,90,2,0,Apartamento,3500
Vila Progresso (zona Norte),50,1,0,Casa,813
Vila das Bandeiras,39,2,0,Apartamento,1650
Jardim Barbosa,103,3,2,Apartamento,4500
Brás,35,2,0,Apartamento,2408
Campos Elíseos,37,1,0,Studio e kitnet,1740
Indianópolis,50,1,1,Apartamento,4100
Campestre,20,1,0,Studio e kitnet,900
Brooklin Novo,175,3,3,Casa,6600
Jardim City,42,2,1,Apartamento,1320
Bela Vista,41,1,0,Apartamento,1545
Vila Anadir,30,1,0,Studio e kitnet,1100
Vila Mariana,28,1,0,Apartamento,3500
Vila Leopoldina,87,2,0,Apartamento,2000
Vila Mariana,28,1,0,Apartamento,3450
Parque São Domingos,59,2,1,Apartamento,3800
Centro Histórico de São Paulo,23,1,0,Studio e kitnet,1900
Jardim São Paulo(zona Norte),78,2,1,Apartamento,1800
Vila Maria Alta,68,3,1,Apartamento,2910
Jardim Pirituba,45,2,0,Apartamento,1865
Indianópolis,72,2,1,Apartamento,4500
Parque Sao Domingos,75,2,2,Casa em condomínio,2000
Pompeia,130,4,3,Apartamento,6200
Vila Catupia,120,3,2,Casa,3490
Consolação,40,1,1,Apartamento,2801
Jardim Paulista,25,1,0,Studio e kitnet,2200
Aclimação,69,2,1,Apartamento,3250
Vila Mascote,55,1,1,Apartamento,2150
Campos Elíseos,42,1,0,Studio e kitnet,1000
Vila Mazzei,29,1,0,Studio e kitnet,1325
Vila Bruna,56,2,1,Apartamento,1800
Pinheiros,60,1,2,Apartamento,6200
Vila Clementino,35,1,0,Studio e kitnet,1200
Parque Vitoria,47,2,1,Apartamento,3488
Vila Butantã,40,2,1,Apartamento,1600
Vila Mascote,30,1,0,Apartamento,1730
Vila Nova Cachoeirinha,47,2,1,Apartamento,2220
Vila Nova Conceição,28,1,0,Apartamento,4100
Vila Santa Catarina,61,2,1,Apartamento,2800
Jardim Ampliação,72,2,2,Apartamento,3200
Vila Lúcia,69,2,1,Apartamento,1495
Pinheiros,52,1,1,Apartamento,3900
Santa Cecília,53,1,1,Apartamento,2500
Parque das Nações,40,2,1,Apartamento,1700
Tucuruvi,42,1,2,Apartamento,2065
Jardim Europa,70,1,0,Casa,8750
Vila Mariana,28,1,1,Apartamento,3700
Vila Lúcia,57,2,1,Apartamento,1400
Vila Azevedo,68,3,1,Apartamento,2850
Bela Vista,22,1,0,Studio e kitnet,1800
Jardim Fonte do Morumbi,70,1,1,Apartamento,4250
Parque Ramos Freitas,50,2,0,Casa,1300
Campo Belo,52,1,1,Studio e kitnet,4000
Real Parque,180,3,3,Apartamento,8000
Santa Cecilia,100,2,1,Apartamento,5500
Santana,132,3,1,Apartamento,3519
Vila Augusta,55,2,1,Studio e kitnet,2410
Jardim da Saúde,135,3,3,Apartamento,3500
Vila Costa Melo,43,2,0,Apartamento,1700
Vila Babilonia,30,1,0,Apartamento,1100
Santo Amaro,106,3,2,Apartamento,7000
Jaguaré,75,2,1,Apartamento,1720
Vila Andrade,64,2,2,Apartamento,2235
República,37,2,0,Apartamento,1600
Vila Buarque,25,1,0,Apartamento,2230
Pompeia,76,2,2,Apartamento,4400
Chácara Califórnia,86,3,1,Apartamento,2300
Jardim Bela Vista,63,3,1,Apartamento,2600
Mirandópolis,44,2,2,Apartamento,3200
Jardim Danfer,50,2,1,Apartamento,2820
Brooklin Paulista,34,1,1,Studio e kitnet,3900
Indianópolis,25,1,0,Apartamento,3600
Ponte Grande,46,2,1,Apartamento,2200
Jardim Caravelas,91,3,2,Apartamento,5500
Moema,53,1,1,Studio e kitnet,2300
Sumaré,215,3,4,Apartamento,10800
Pinheiros,60,2,1,Apartamento,3900
Imirim,89,3,3,Apartamento,2553
Penha de França,39,2,1,Apartamento,3040
Santa Cecília,33,1,1,Studio e kitnet,2900
Ipiranga,89,3,2,Apartamento,4140
Vila Indiana,65,2,1,Apartamento,2400
Vila Guarani(zona Leste),45,1,1,Casa,1000
Vila Dalila,43,2,0,Apartamento,1700
Perdizes,28,1,0,Apartamento,2400
Perdizes,84,2,2,Apartamento,8075
Pompeia,127,2,1,Apartamento,3200
Vila Guilherme,60,3,2,Apartamento,6500
Vila Olímpia,80,2,1,Apartamento,3500
Taboão,30,1,0,Studio e kitnet,500
Cerqueira César,27,1,1,Studio e kitnet,5250
Santo Amaro,121,2,2,Apartamento,7100
Vila Nova Manchester,45,2,1,Apartamento,1310
Jardim Paulista,100,3,1,Apartamento,3400
Perdizes,23,1,0,Apartamento,2700
Vila Andrade,80,3,2,Apartamento,3500
Sumarezinho,27,1,0,Studio e kitnet,3488
Vila Andrade,83,2,2,Apartamento,2900
Jardim Brasil (zona Sul),90,3,2,Apartamento,2920
Vila Clementino,86,2,1,Apartamento,2500
Itaim Bibi,107,2,0,Apartamento,13900
Moema,170,3,2,Apartamento,15000
Vila Mariana,140,4,3,Apartamento,8900
Vila Andrade,105,2,3,Apartamento,7800
Paraíso,155,2,1,Apartamento,15000
Vila Andrade,119,3,2,Apartamento,2200
Sumarezinho,35,1,1,Apartamento,4690
Sumarezinho,101,2,2,Apartamento,12000
Vila Andrade,91,3,2,Apartamento,2600
Vila Santo Estéfano,60,2,1,Apartamento,1800
Vila Tolstoi,40,1,0,Apartamento,950
Vila Nova Conceição,43,1,1,Apartamento,2900
Nova Piraju,60,2,1,Apartamento,7500
Jardim Paulista,31,1,1,Apartamento,2560
Alto de Pinheiros,120,3,2,Apartamento,7500
Vila Regente Feijó,120,3,2,Casa,2900
Cerqueira César,27,1,1,Apartamento,2500
Vila Gomes Cardim,110,2,0,Casa,2400
Brooklin,84,2,2,Apartamento,11000
Cerqueira César,41,1,1,Apartamento,15000
Jaguaré,40,1,0,Casa,1418
Jardim Paulista,32,1,1,Studio e kitnet,3200
Pinheiros,105,2,0,Apartamento,4950
Ipiranga,64,2,0,Apartamento,2100
Jardim Peri,105,2,0,Casa,1750
Campos Elíseos,37,1,0,Studio e kitnet,1200
Bela Vista,55,2,1,Apartamento,2900
Vila Romana,116,3,3,Apartamento,6200
Vila Mascote,86,2,2,Apartamento,2900
Jardim Ampliação,140,3,2,Apartamento,2400
Vila Eldízia,240,3,2,Casa,3420
Tatuapé,70,3,0,Casa,1648
Liberdade,46,2,1,Apartamento,2200
Mooca,75,1,0,Apartamento,1800
Parque São Jorge,63,2,0,Apartamento,3000
Jardim Maristela,80,1,2,Casa,1100
Jardim Peri,70,2,0,Apartamento,2500
Vila Monumento,96,2,0,Apartamento,2800
Parque das Nações,60,2,1,Apartamento,1500
Mooca,28,1,0,Studio e kitnet,1450
Jardim Santa Bárbara,75,1,1,Casa,1050
Brás,25,1,0,Apartamento,1012
Jardim Maringá,55,2,1,Apartamento,1400
Vila Formosa,200,3,3,Casa,3675
Vila Franci,204,3,5,Casa,3200
Vila Graciosa,180,3,2,Casa,2480
Casa Verde,65,1,1,Casa,1500
Vila Monte Alegre,70,2,1,Apartamento,2370
Jardim Silvia,64,2,1,Apartamento,1400
Vila Aricanduva,47,2,0,Apartamento,1799
Cidade Mãe do Céu,110,2,0,Casa,2150
Gopoúva,130,2,1,Casa,2500
Vila Santo Estéfano,95,2,0,Casa,1250
Cambuci,79,3,1,Apartamento,2050
Butantã,28,0,0,Studio e kitnet,2600
Jardim Maria Aparecida,110,2,1,Casa,1500
Parque Jabaquara,178,3,2,Casa,2950
Vila Guilhermina,65,1,0,Casa,1500
Saúde,229,3,2,Casa,3850
Vila Fátima,93,2,2,Casa,2500
Santa Efigênia,78,1,0,Apartamento,1100
Canindé,69,2,0,Apartamento,2000
Bela Vista,37,1,0,Studio e kitnet,1700
Vila Romana,79,2,0,Apartamento,2020
Jardim Planalto,28,1,0,Apartamento,1050
Jardim Japão,65,1,0,Casa em condomínio,880
Jardim Utinga,101,2,2,Apartamento,2450
Chácara Mafalda,50,1,0,Casa,1200
Cambuci,35,2,0,Apartamento,1500
Vila Fátima,110,3,0,Casa em condomínio,1510
Bom Retiro,69,1,0,Apartamento,1650
Vila Fiuza,54,1,0,Casa,1070
Vila Dom Pedro I,37,1,0,Studio e kitnet,2600
Rudge Ramos,140,2,2,Casa,2500
Barra Funda,32,1,0,Studio e kitnet,1700
Vila Santa Teresa (zona Sul),48,2,1,Apartamento,1129
Centro Histórico de São Paulo,54,1,0,Apartamento,1300
Vila Rosália,104,3,1,Casa,2000
Vila Celeste,130,3,0,Casa,1890
Campos Elíseos,37,1,0,Studio e kitnet,1380
Vila Jaguara,39,1,0,Apartamento,1350
Planalto Paulista,120,3,2,Casa,4284
Jardim Bandeirantes (zona Norte),112,2,1,Casa,1700
Santana,60,2,1,Apartamento,1800
Vila Formosa,53,1,0,Casa,1050
Jardim Brasil (zona Norte),50,2,0,Apartamento,1260
Vila Andrade,54,1,1,Apartamento,3000
Jardim Santa Cecília,125,2,0,Casa,1700
Parque Maria Domitila,52,2,1,Apartamento,1575
Penha de França,87,2,0,Apartamento,2200
Cambuci,80,2,0,Apartamento,2193
Higienópolis ,126,2,0,Apartamento,3340
Vila Dalila,60,2,1,Apartamento,1410
Vila Leopoldina,40,1,1,Apartamento,2950
Parque Imperial,70,2,0,Apartamento,1855
Indianópolis,65,2,1,Apartamento,3050
Jardim Ângela (zona Leste),60,2,1,Apartamento,1300
Vila Carrao,65,1,0,Casa,1100
Vila Aurora (zona Norte),60,2,2,Apartamento,1800
Jardim Santa Monica,50,1,0,Casa,1500
Jardim Paraíso,52,1,0,Casa,1020
Jardim Brasil,55,2,0,Apartamento,1150
Vila Paulo Silas,125,2,4,Casa,2670
Vila Prudente,59,2,1,Apartamento,3100
Tatuapé,60,2,1,Apartamento,1519
Pinheiros,100,2,0,Apartamento,3000
Mirandópolis,119,2,0,Casa,3010
Ipiranga,49,1,1,Apartamento,3200
Ipiranga,60,1,0,Apartamento,1280
Santana,60,2,1,Apartamento,3500
Vila Lucinda,52,2,1,Apartamento,1670
Brás,45,1,0,Apartamento,3000
Sacoma,75,3,2,Casa,2163
Parque Independencia,250,3,1,Casa,2150
Ipiranga,35,1,0,Apartamento,1600
Vila Cristália,42,2,0,Apartamento,1500
Rio Pequeno,120,3,2,Casa,3600
Vila Santa Clara,45,2,0,Apartamento,1650
Tucuruvi,81,2,0,Apartamento,1100
Chácara Santo Antônio (zona Leste),35,1,0,Casa,1100
Vila Independência,48,2,1,Apartamento,1950
Paulicéia,179,3,2,Casa,2700
Vila Paulista,57,3,1,Apartamento,2255
Vila Isolina Mazzei,46,1,0,Apartamento,1000
Vila Gustavo,35,1,0,Apartamento,1200
Casa Branca,59,2,1,Apartamento,2100
Bela Vista,35,1,0,Apartamento,3100
Vila Prudente,150,2,2,Casa,4750
Vila Guarani (z Sul),96,3,1,Apartamento,2750
Vila Rosália,120,3,3,Casa,2340
Jardim Dourado,70,2,1,Apartamento,1282
Rio Pequeno,35,1,0,Studio e kitnet,1000
Bela Vista,44,1,0,Studio e kitnet,2200
Brás,25,1,0,Studio e kitnet,800
Jardim Brasília (zona Norte),46,1,0,Apartamento,1286
Lapa,64,2,1,Apartamento,1700
Jaguaré,70,2,1,Apartamento,1800
Vila Romana,40,1,0,Casa,1450
Vila Paulista,35,1,1,Apartamento,2290
Fazenda Morumbi,61,2,1,Apartamento,2400
Consolação,48,1,1,Apartamento,2000
Vila Renata,58,2,2,Apartamento,2100
Cidade Mãe do Céu,15,1,0,Studio e kitnet,800
Vila Esplanada,87,3,1,Casa,1800
Jardim São Luís,146,3,2,Casa,2650
Aclimação,60,2,1,Apartamento,2500
Vila São José,50,1,0,Studio e kitnet,1800
Brás,36,1,0,Apartamento,1500
Vila Hamburguesa,50,1,0,Casa,1600
Água Fria,150,3,1,Casa,3350
Vila Zilda,32,1,0,Studio e kitnet,2080
Vila Gumercindo,69,3,1,Apartamento,2700
Cambuci,130,3,1,Casa,3600
Jardim Filhos da Terra,95,3,0,Casa,1100
Vila Moinho Velho,115,3,3,Casa em condomínio,10000
Jardim Patente Novo,58,2,1,Apartamento,1765
Vila Ester (zona Norte),50,1,0,Apartamento,1990
Vila Bancária,11,2,1,Apartamento,1200
Vila Clementino,42,1,0,Apartamento,2950
Chácara Seis de Outubro,38,2,0,Apartamento,1350
Jardim Vila Formosa,99,2,3,Casa,2500
Vila Prudente,80,2,2,Casa,4500
Vila Medeiros,54,2,0,Casa,1224
Jardim Iracema,52,2,1,Apartamento,1202
Jardim Patente,50,1,0,Apartamento,1200
Brás,45,1,0,Apartamento,1750
Jardim Marajoara,60,2,1,Apartamento,2200
Vila Buarque,33,1,0,Studio e kitnet,1700
Siciliano,37,1,0,Casa,2400
Jardim São Luís,150,3,1,Casa,3000
Saúde,75,3,1,Apartamento,3000
Vila Gertrudes,90,3,1,Apartamento,3758
Jardim da Saúde,46,1,0,Casa,900
Vila da Saúde,59,2,1,Apartamento,4000
Jabaquara,34,1,1,Apartamento,2500
Casa Verde Alta,34,1,0,Casa,890
Vila Guilherme,35,1,0,Studio e kitnet,750
Vila Matilde,57,2,1,Apartamento,1700
Ipiranga,33,1,0,Apartamento,1600
Vila Butantã,25,1,0,Casa,1100
Cambuci,54,1,1,Apartamento,2800
Vila Camilópolis,90,2,2,Casa,2180
Santana,69,2,0,Apartamento,2600
Barra Funda,59,2,1,Apartamento,3300
Parque Oratório,51,2,1,Apartamento,1900
Bela Vista,35,1,0,Apartamento,1190
Vila Regente Feijó,76,3,0,Casa,2777
Conjunto Habitacional Teotonio Vilela,135,3,1,Casa,2250
Vila Augusta,50,2,1,Apartamento,1800
Tucuruvi,50,1,0,Casa,1200
Chácara Cruzeiro do Sul,50,2,1,Apartamento,1200
Brás,45,1,1,Apartamento,2200
Cambuci,40,2,0,Casa,2370
Mooca,82,2,2,Apartamento,4200
Vila América,29,1,0,Casa,630
Jardim Brasil,60,2,0,Apartamento,1150
Jardim Jaú (zona Leste),50,2,1,Apartamento,1800
Mirandópolis,150,3,2,Casa,6000
Vila Gustavo,80,2,0,Casa,1300
Bela Vista,27,1,0,Apartamento,1200
Vila Constança,110,3,2,Apartamento,3200
Vila Olímpia,150,2,2,Casa,5900
Vila Metalurgica,50,2,1,Apartamento,4000
Jardim Brasil,50,2,0,Apartamento,1150
Jardim Casablanca,55,2,1,Apartamento,2240
Vila Mazzei,120,3,2,Casa,3300
Vila Suzana,70,1,1,Apartamento,3100
Jardim São Paulo(zona Norte),80,2,1,Apartamento,1700
Santa Cecília,53,1,1,Apartamento,2038
Rudge Ramos,50,1,1,Apartamento,2700
Vila Guilhermina,36,1,0,Apartamento,1650
Vila Ema,48,2,0,Apartamento,1655
Chácara Santo Antônio (zona Leste),32,1,0,Apartamento,1450
Parque Reboucas,40,2,1,Apartamento,1940
Vila Buarque,37,1,1,Studio e kitnet,2910
Centro,92,2,1,Apartamento,2300
República,32,1,0,Apartamento,4350
Cidade Brasil,70,3,1,Casa,2000
Vila Mafra,230,4,4,Casa,4950
Santo Amaro,38,2,0,Apartamento,2100
Jardim Promissão,110,4,1,Casa,2207
Santana,55,2,0,Apartamento,2000
Vila Hulda,80,3,0,Apartamento,1300
Jardim Japão,40,1,0,Casa,1140
Vila Cachoeira,56,3,1,Apartamento,2000
Santana,46,1,0,Apartamento,1800
Campos Elíseos,50,1,0,Apartamento,2482
Vila das Merces,28,1,1,Casa,890
Chácara Califórnia,42,2,0,Apartamento,1400
Chácara Inglesa,57,2,1,Apartamento,3800
Vila Bremen,49,2,1,Apartamento,1170
Butantã,74,2,1,Apartamento,3000
Vila Fachini,46,1,0,Casa,1155
